staff_id,hospital_id,first_name,last_name,role,salary_grade,employment_date,shift,source_file
47,2,Clifford,Myers,Driver,JG-F,2023-09-16,Day,staff.csv
48,2,Laura,Wright,Clinical Officer,JG-D,2013-04-03,Rotating,staff.csv
49,2,Joel,Walker,ICT Officer,JG-F,2022-04-25,Day,staff.csv
50,2,Glen,Pearce,Clinical Officer,JG-F,2016-12-03,Day,staff.csv
51,2,Sheila,Higgins,Radiographer,JG-E,2022-10-03,Rotating,staff.csv
52,2,Oliver,Dixon,Security Officer,JG-E,2018-10-20,Day,staff.csv
53,2,Rhys,Ford,Security Officer,JG-C,2011-07-08,Rotating,staff.csv
54,2,Danielle,Phillips,Nurse,JG-A,2010-06-28,Rotating,staff.csv
55,2,Alexandra,Jackson,Nurse,JG-G,2010-09-09,Night,staff.csv
56,2,Bryan,Harris,Nurse,JG-E,2008-09-10,Day,staff.csv
57,2,Clare,Lewis,Radiographer,JG-B,2011-04-19,Rotating,staff.csv
58,2,Eileen,Khan,Clinical Officer,JG-F,2010-10-18,Rotating,staff.csv
59,2,Cheryl,Singh,Nutritionist,JG-D,2009-12-28,Rotating,staff.csv
60,2,Kimberley,Jennings,Pharmacist,JG-C,2017-06-14,Night,staff.csv
61,2,Sylvia,Gibbons,Pharmacist,JG-E,2021-06-06,Day,staff.csv
62,2,William,Smith,Security Officer,JG-E,2011-04-28,Day,staff.csv
63,2,Pauline,Morgan,Security Officer,JG-A,2018-09-25,Rotating,staff.csv
64,2,Nicola,Randall,Driver,JG-E,2009-05-21,Rotating,staff.csv
65,2,Dale,Watson,Administrator,JG-D,2015-05-15,Night,staff.csv
66,2,Abbie,Allan,Clinical Officer,JG-B,2015-06-14,Night,staff.csv
67,2,Ann,Brennan,Security Officer,JG-B,2012-02-03,Night,staff.csv
68,2,Amanda,Ahmed,Receptionist,JG-E,2019-06-02,Night,staff.csv
69,2,Hayley,Fitzgerald,Administrator,JG-G,2016-04-20,Rotating,staff.csv
70,2,Beth,Robinson,Security Officer,JG-C,2016-12-31,Night,staff.csv
71,2,Ben,Baker,Nurse,JG-A,2021-03-11,Day,staff.csv
72,2,Yvonne,Higgins,Radiographer,JG-G,2018-12-14,Day,staff.csv
73,2,Dylan,Goddard,Driver,JG-E,2018-02-07,Rotating,staff.csv
74,2,Yvonne,Walsh,Driver,JG-A,2022-12-22,Night,staff.csv
75,2,Samantha,Berry,Security Officer,JG-D,2024-04-30,Rotating,staff.csv
76,2,Amelia,Bradshaw,Laboratory Technologist,JG-E,2006-10-21,Night,staff.csv
77,2,Rita,McDonald,Receptionist,JG-F,2015-08-03,Day,staff.csv
78,2,Marion,Green,Radiographer,JG-B,2010-04-14,Rotating,staff.csv
79,2,Shaun,Hunter,Clinical Officer,JG-A,2020-07-26,Night,staff.csv
80,2,Liam,Bennett,Cleaner,JG-C,2024-06-07,Night,staff.csv
81,2,Margaret,Black,Medical Records Officer,JG-C,2022-09-29,Rotating,staff.csv
82,2,Leah,Gray,Cleaner,JG-C,2015-08-02,Rotating,staff.csv
83,2,Lydia,Harris,Security Officer,JG-D,2023-06-14,Day,staff.csv
84,2,Leonard,Wallis,Clinical Officer,JG-B,2019-01-01,Day,staff.csv
85,2,George,Murphy,Nutritionist,JG-E,2020-06-15,Night,staff.csv
86,2,Molly,Webb,Receptionist,JG-G,2008-09-06,Night,staff.csv
87,2,Kathleen,Black,Medical Records Officer,JG-B,2012-11-20,Day,staff.csv
88,2,Shaun,Brookes,Security Officer,JG-E,2012-09-14,Rotating,staff.csv
89,2,Reece,Kent,Nutritionist,JG-B,2011-06-28,Night,staff.csv
90,2,Abbie,Skinner,Laboratory Technologist,JG-F,2024-03-25,Night,staff.csv
91,2,Leon,Schofield,Pharmacist,JG-D,2008-05-03,Rotating,staff.csv
92,2,Craig,Cooper,Administrator,JG-F,2019-11-17,Night,staff.csv
93,2,Tom,Jenkins,Radiographer,JG-B,2015-12-26,Day,staff.csv
94,2,Chelsea,Pritchard,Laboratory Technologist,JG-A,2021-03-11,Night,staff.csv
95,2,Guy,Green,Nurse,JG-A,2008-05-25,Day,staff.csv
96,2,Reece,White,Driver,JG-F,2021-11-16,Day,staff.csv
97,2,Ian,Harris,Radiographer,JG-B,2013-04-01,Rotating,staff.csv
98,2,Bernard,Davies,Nutritionist,JG-F,2025-05-23,Day,staff.csv
99,2,Marian,Carey,Medical Records Officer,JG-D,2009-02-02,Night,staff.csv
100,2,Natasha,Rhodes,Nutritionist,JG-F,2018-03-19,Night,staff.csv
101,2,Danielle,Khan,Security Officer,JG-B,2015-09-22,Rotating,staff.csv
102,2,Liam,Matthews,Clinical Officer,JG-A,2009-08-24,Night,staff.csv
103,2,Kayleigh,Coles,Driver,JG-B,2011-11-07,Rotating,staff.csv
104,2,Teresa,Ball,Administrator,JG-D,2008-05-05,Day,staff.csv
105,2,Susan,Baker,Laboratory Technologist,JG-E,2014-03-24,Night,staff.csv
106,2,Henry,Chapman,Medical Records Officer,JG-B,2015-06-22,Rotating,staff.csv
107,2,Graeme,Davidson,Nurse,JG-E,2012-01-30,Day,staff.csv
108,2,Jodie,Wall,Nutritionist,JG-E,2017-03-02,Rotating,staff.csv
109,2,Toby,Jones,Administrator,JG-B,2013-04-11,Night,staff.csv
110,2,Brian,Hill,Driver,JG-A,2014-01-06,Night,staff.csv
111,2,Douglas,Reid,Laboratory Technologist,JG-F,2017-05-06,Day,staff.csv
112,2,Thomas,Sheppard,Clinical Officer,JG-D,2020-04-19,Rotating,staff.csv
113,2,Scott,Andrews,Radiographer,JG-E,2012-08-24,Rotating,staff.csv
114,2,Duncan,Rogers,ICT Officer,JG-C,2022-12-15,Day,staff.csv
115,2,Abigail,Bishop,Security Officer,JG-G,2012-04-12,Rotating,staff.csv
116,2,Ricky,Patel,Pharmacist,JG-F,2021-05-28,Rotating,staff.csv
117,2,Bethany,Hall,Nurse,JG-E,2021-01-08,Night,staff.csv
118,2,Keith,Graham,Clinical Officer,JG-A,2010-10-19,Night,staff.csv
119,2,Stephen,Dixon,Nurse,JG-A,2026-06-02,Night,staff.csv
120,2,Karen,Lewis,Clinical Officer,JG-E,2011-11-22,Rotating,staff.csv
121,2,Carl,Riley,Administrator,JG-A,2024-11-12,Rotating,staff.csv
122,2,Hayley,Bryant,Cleaner,JG-A,2018-09-15,Night,staff.csv
123,2,Paul,Burns,Receptionist,JG-D,2017-03-30,Night,staff.csv
124,2,Caroline,Flynn,Clinical Officer,JG-A,2007-11-19,Day,staff.csv
125,2,Carol,Cooke,Medical Records Officer,JG-G,2026-05-29,Day,staff.csv
126,2,Kelly,Patel,Administrator,JG-A,2017-01-25,Day,staff.csv
127,2,Kimberley,Patel,Driver,JG-F,2023-12-16,Rotating,staff.csv
128,2,Julie,Khan,Nurse,JG-F,2021-07-19,Night,staff.csv
129,2,Fiona,Bradshaw,Medical Records Officer,JG-C,2025-12-09,Night,staff.csv
130,2,Max,Thorpe,ICT Officer,JG-B,2013-03-09,Night,staff.csv
131,2,Joyce,Smith,Nutritionist,JG-D,2022-07-09,Night,staff.csv
132,2,Leanne,Thomas,Radiographer,JG-F,2011-03-19,Rotating,staff.csv
133,2,Louise,O'Connor,Pharmacist,JG-F,2007-12-18,Rotating,staff.csv
134,2,Arthur,Powell,Medical Records Officer,JG-C,2016-07-14,Rotating,staff.csv
135,2,Lydia,Hobbs,Pharmacist,JG-C,2010-04-07,Night,staff.csv
136,2,Maria,Wallis,ICT Officer,JG-B,2021-08-02,Night,staff.csv
137,2,Jade,Power,Medical Records Officer,JG-E,2011-09-12,Night,staff.csv
138,2,Emily,Francis,ICT Officer,JG-B,2011-10-20,Night,staff.csv
139,2,Claire,Smart,Nutritionist,JG-F,2019-10-14,Day,staff.csv
140,2,Ian,Spencer,Driver,JG-E,2022-01-23,Day,staff.csv
141,2,Hazel,Wood,Nutritionist,JG-G,2023-03-19,Night,staff.csv
142,2,Tina,Brady,Medical Records Officer,JG-B,2023-04-18,Day,staff.csv
143,2,Samantha,Payne,Nutritionist,JG-A,2009-04-14,Night,staff.csv
144,2,Howard,Knight,ICT Officer,JG-D,2010-10-12,Night,staff.csv
145,2,Hazel,Potts,Security Officer,JG-A,2023-07-31,Night,staff.csv
146,2,Anna,Pearson,Laboratory Technologist,JG-C,2021-10-29,Day,staff.csv
147,2,Wayne,Jackson,Receptionist,JG-D,2015-08-27,Day,staff.csv
148,2,Dylan,Taylor,Cleaner,JG-F,2017-02-13,Day,staff.csv
149,2,Damian,Walker,Medical Records Officer,JG-A,2013-07-08,Rotating,staff.csv
150,2,Annette,Holmes,Clinical Officer,JG-A,2018-08-11,Rotating,staff.csv
151,2,Craig,Goodwin,Nurse,JG-B,2021-12-10,Rotating,staff.csv
152,2,Guy,Lane,Receptionist,JG-C,2024-03-29,Day,staff.csv
153,2,Sheila,Ferguson,Security Officer,JG-D,2008-01-18,Rotating,staff.csv
154,2,Lorraine,Smith,Cleaner,JG-F,2008-03-21,Day,staff.csv
155,2,Lydia,Harris,Pharmacist,JG-G,2012-12-02,Night,staff.csv
156,2,Melanie,Lee,Receptionist,JG-D,2024-03-09,Night,staff.csv
157,2,Mohammed,Campbell,Administrator,JG-F,2021-04-29,Night,staff.csv
158,2,Liam,King,Receptionist,JG-C,2015-03-24,Day,staff.csv
159,2,Stuart,Bennett,Receptionist,JG-F,2014-06-24,Rotating,staff.csv
160,2,Martin,Smith,Administrator,JG-E,2010-05-20,Night,staff.csv
161,2,Claire,Wilkinson,Receptionist,JG-D,2025-06-07,Day,staff.csv
162,2,Mohamed,Goodwin,Pharmacist,JG-D,2007-10-20,Night,staff.csv
163,2,Adam,Lee,Nutritionist,JG-E,2007-11-14,Day,staff.csv
164,2,Neil,Bennett,ICT Officer,JG-A,2012-07-30,Night,staff.csv
165,2,Linda,Joyce,Nurse,JG-D,2025-04-06,Night,staff.csv
166,2,Brett,Berry,Clinical Officer,JG-B,2008-03-22,Day,staff.csv
167,2,Elaine,Wilson,ICT Officer,JG-G,2024-11-08,Day,staff.csv
168,2,Allan,Miles,Nurse,JG-E,2008-02-07,Night,staff.csv
169,2,Toby,Fitzgerald,Medical Records Officer,JG-F,2022-03-31,Night,staff.csv
170,2,Claire,Marshall,Pharmacist,JG-A,2018-02-21,Night,staff.csv
171,2,Nathan,Marsden,Clinical Officer,JG-G,2023-11-30,Night,staff.csv
172,2,Martin,Lewis,Nutritionist,JG-C,2019-09-04,Rotating,staff.csv
173,2,Joyce,Owens,Nutritionist,JG-A,2026-04-15,Night,staff.csv
174,2,Katy,Evans,Nutritionist,JG-A,2022-03-16,Night,staff.csv
175,2,Marilyn,Foster,ICT Officer,JG-F,2024-05-30,Night,staff.csv
176,2,Marion,Francis,Radiographer,JG-D,2023-10-25,Rotating,staff.csv
177,2,Grace,Willis,Laboratory Technologist,JG-B,2022-11-25,Day,staff.csv
178,2,Christian,Fletcher,Nurse,JG-F,2022-02-19,Night,staff.csv
179,2,Elizabeth,West,ICT Officer,JG-E,2008-07-22,Day,staff.csv
180,2,Pauline,Fuller,Administrator,JG-C,2008-05-28,Night,staff.csv
181,2,Gary,Harris,Administrator,JG-G,2023-02-15,Rotating,staff.csv
182,2,Ben,White,Radiographer,JG-C,2006-12-11,Night,staff.csv
183,2,Kimberley,Ahmed,Security Officer,JG-B,2015-03-13,Rotating,staff.csv
184,2,Benjamin,Lee,Security Officer,JG-A,2013-11-19,Night,staff.csv
185,2,Elliott,Burns,Receptionist,JG-D,2018-03-09,Rotating,staff.csv
186,2,Leonard,Rice,ICT Officer,JG-C,2021-06-29,Rotating,staff.csv
187,2,Valerie,Douglas,Receptionist,JG-C,2006-08-26,Day,staff.csv
188,2,Toby,Dawson,Pharmacist,JG-C,2016-07-09,Rotating,staff.csv
189,2,Jennifer,Collier,Pharmacist,JG-D,2014-05-08,Night,staff.csv
190,2,Cheryl,Hall,Medical Records Officer,JG-C,2017-12-15,Day,staff.csv
191,2,Jake,Mistry,Radiographer,JG-B,2024-01-20,Rotating,staff.csv
192,2,Lynda,Smith,Pharmacist,JG-E,2024-03-22,Rotating,staff.csv
193,2,Nigel,Williamson,Cleaner,JG-E,2017-01-31,Day,staff.csv
194,2,Angela,Hutchinson,Radiographer,JG-B,2025-12-27,Rotating,staff.csv
195,2,Shannon,Cooper,Laboratory Technologist,JG-G,2015-01-03,Day,staff.csv
196,2,Leanne,Mills,Pharmacist,JG-D,2009-01-19,Rotating,staff.csv
197,2,Natasha,Brown,Pharmacist,JG-C,2016-10-11,Day,staff.csv
198,2,Jade,Coles,Pharmacist,JG-F,2019-01-24,Day,staff.csv
199,2,Robin,Woods,Receptionist,JG-C,2019-03-26,Night,staff.csv
200,2,Norman,Bibi,Radiographer,JG-G,2022-02-12,Night,staff.csv
201,2,Sara,Miller,Security Officer,JG-D,2009-06-28,Rotating,staff.csv
202,2,Jasmine,Campbell,Security Officer,JG-G,2015-10-28,Night,staff.csv
203,2,Alexander,Heath,Driver,JG-E,2007-01-21,Rotating,staff.csv
204,2,Joanna,Rogers,Nutritionist,JG-A,2015-06-13,Day,staff.csv
205,2,Gregory,Randall,ICT Officer,JG-B,2007-01-25,Night,staff.csv
206,2,Hugh,Smith,Security Officer,JG-B,2015-06-23,Night,staff.csv
207,2,Christine,Johnson,Pharmacist,JG-E,2008-07-24,Rotating,staff.csv
208,2,Tracey,Francis,Clinical Officer,JG-D,2022-05-27,Night,staff.csv
209,2,Allan,Chapman,Laboratory Technologist,JG-G,2010-09-13,Night,staff.csv
210,2,Elliott,Edwards,Medical Records Officer,JG-D,2017-01-04,Rotating,staff.csv
211,2,Paula,Clarke,Clinical Officer,JG-B,2023-03-14,Night,staff.csv
212,2,Matthew,Todd,Laboratory Technologist,JG-E,2016-09-21,Rotating,staff.csv
213,2,Victoria,Bradley,ICT Officer,JG-G,2020-06-19,Day,staff.csv
214,2,Joanne,Johnson,Laboratory Technologist,JG-B,2013-09-22,Night,staff.csv
215,2,Joseph,Ward,Driver,JG-D,2010-11-24,Rotating,staff.csv
216,2,Wayne,Tucker,Nurse,JG-C,2011-10-05,Day,staff.csv
217,2,Lorraine,Kaur,Nutritionist,JG-B,2007-06-16,Day,staff.csv
218,2,Hazel,Powell,Radiographer,JG-G,2018-02-23,Night,staff.csv
219,2,Lauren,Thomas,Medical Records Officer,JG-C,2019-09-13,Night,staff.csv
220,2,Amber,Stokes,Cleaner,JG-C,2012-10-15,Night,staff.csv
221,2,Andrew,Cross,ICT Officer,JG-G,2006-12-26,Rotating,staff.csv
222,2,Graeme,Wright,Pharmacist,JG-A,2012-10-24,Night,staff.csv
223,2,Sheila,Thomas,Administrator,JG-F,2024-11-21,Day,staff.csv
224,2,Maureen,Spencer,Pharmacist,JG-C,2011-11-06,Night,staff.csv
225,2,Roy,West,ICT Officer,JG-C,2008-09-19,Night,staff.csv
226,2,Jenna,Cox,Pharmacist,JG-C,2009-05-26,Night,staff.csv
227,2,Eileen,Dawson,Nurse,JG-D,2018-06-13,Night,staff.csv
228,2,Nicholas,Lowe,Medical Records Officer,JG-C,2008-10-04,Night,staff.csv
229,2,Samantha,Wilson,Driver,JG-E,2010-02-16,Rotating,staff.csv
230,2,Kerry,Clarke,Driver,JG-C,2025-03-22,Night,staff.csv
231,2,Maureen,Evans,Medical Records Officer,JG-B,2012-09-19,Night,staff.csv
232,2,Jacob,Chapman,Driver,JG-E,2010-01-25,Day,staff.csv
233,2,Gavin,Moore,Radiographer,JG-A,2008-05-14,Night,staff.csv
234,2,Mark,Anderson,Cleaner,JG-A,2023-10-02,Day,staff.csv
235,2,Dominic,Thomas,Nutritionist,JG-D,2019-08-26,Night,staff.csv
236,2,Neil,Taylor,Cleaner,JG-B,2023-12-06,Day,staff.csv
237,2,Chloe,Baxter,Radiographer,JG-C,2018-06-23,Rotating,staff.csv
238,2,Vincent,Nash,Pharmacist,JG-E,2010-02-02,Night,staff.csv
239,2,Leanne,Peacock,Clinical Officer,JG-A,2011-04-26,Rotating,staff.csv
240,2,Joel,Whitehead,Laboratory Technologist,JG-C,2016-07-22,Night,staff.csv
241,2,Deborah,Wells,Nutritionist,JG-G,2008-05-25,Day,staff.csv
242,2,Phillip,Godfrey,Laboratory Technologist,JG-G,2023-08-12,Rotating,staff.csv
243,2,Gregory,Murphy,ICT Officer,JG-D,2008-11-09,Day,staff.csv
244,2,Julian,McDonald,Security Officer,JG-F,2021-05-27,Night,staff.csv
245,2,Judith,Hawkins,Clinical Officer,JG-C,2017-06-30,Rotating,staff.csv
246,2,Jason,Wilkinson,Administrator,JG-D,2008-09-22,Night,staff.csv
247,2,Grace,Willis,Driver,JG-C,2010-12-09,Rotating,staff.csv
248,2,Charlie,Simpson,Nutritionist,JG-C,2013-06-02,Rotating,staff.csv
249,2,Kieran,Jones,Security Officer,JG-A,2016-07-10,Day,staff.csv
250,2,Max,Doyle,Clinical Officer,JG-D,2014-10-03,Night,staff.csv
251,2,Brandon,Singh,Nurse,JG-D,2013-03-15,Night,staff.csv
252,2,Susan,Wilson,Cleaner,JG-A,2026-03-10,Rotating,staff.csv
253,2,Lawrence,Murray,Nutritionist,JG-C,2016-11-03,Rotating,staff.csv
254,2,Carole,Lees,Cleaner,JG-E,2023-05-28,Night,staff.csv
255,2,Jemma,Brown,Laboratory Technologist,JG-C,2015-12-13,Day,staff.csv
256,2,Anna,Lawrence,Driver,JG-D,2010-08-27,Night,staff.csv
257,2,John,Brown,Clinical Officer,JG-B,2018-06-05,Night,staff.csv
258,2,Lauren,Martin,Clinical Officer,JG-E,2016-11-23,Rotating,staff.csv
259,2,Helen,Franklin,Nurse,JG-C,2015-01-01,Day,staff.csv
260,2,Brandon,Hunt,Nurse,JG-E,2014-12-14,Day,staff.csv
261,2,Rebecca,Lee,Administrator,JG-A,2008-07-05,Day,staff.csv
262,2,Irene,Norman,Medical Records Officer,JG-C,2013-03-10,Night,staff.csv
263,2,Albert,Norman,ICT Officer,JG-G,2020-02-27,Night,staff.csv
264,2,Jeremy,Walsh,Medical Records Officer,JG-G,2023-05-25,Rotating,staff.csv
265,2,Bryan,Wells,Clinical Officer,JG-G,2022-04-10,Rotating,staff.csv
266,2,Albert,Quinn,Administrator,JG-D,2018-07-03,Day,staff.csv
267,2,Janet,Carter,Clinical Officer,JG-G,2017-06-23,Day,staff.csv
268,2,Jodie,Collins,Nurse,JG-D,2024-07-30,Day,staff.csv
269,2,Karen,Carpenter,Clinical Officer,JG-F,2017-11-28,Day,staff.csv
270,2,Hollie,Howell,Security Officer,JG-F,2018-05-15,Rotating,staff.csv
271,2,Fiona,Pearson,Medical Records Officer,JG-B,2010-11-10,Night,staff.csv
272,2,Liam,Berry,Security Officer,JG-E,2020-09-17,Night,staff.csv
273,2,Trevor,Kelly,Pharmacist,JG-G,2018-12-11,Rotating,staff.csv
274,2,Melanie,Walters,Receptionist,JG-D,2024-01-27,Day,staff.csv
275,2,Carole,Howe,Nutritionist,JG-B,2006-07-10,Night,staff.csv
276,2,Elizabeth,Wilson,Medical Records Officer,JG-A,2019-05-31,Night,staff.csv
277,2,Kyle,King,Security Officer,JG-E,2025-09-14,Day,staff.csv
278,2,Tina,Gill,Laboratory Technologist,JG-A,2007-03-29,Night,staff.csv
279,2,Ellie,Nicholson,Administrator,JG-A,2011-11-14,Night,staff.csv
280,2,Jayne,Hawkins,Medical Records Officer,JG-D,2021-08-28,Rotating,staff.csv
281,2,Hilary,Elliott,Laboratory Technologist,JG-B,2012-10-11,Rotating,staff.csv
282,2,Alan,Robinson,Nurse,JG-C,2018-11-25,Day,staff.csv
283,2,Ricky,Dennis,Pharmacist,JG-B,2013-01-16,Rotating,staff.csv
284,2,Diane,Robson,Nurse,JG-F,2019-11-17,Night,staff.csv
285,2,Simon,Sharp,Pharmacist,JG-C,2017-12-03,Day,staff.csv
286,2,Bernard,Warren,Cleaner,JG-B,2025-07-02,Day,staff.csv
287,2,Judith,Ingram,Administrator,JG-A,2013-04-13,Night,staff.csv
288,2,Paula,Miller,Clinical Officer,JG-G,2010-07-06,Night,staff.csv
289,2,Eleanor,Stevens,Administrator,JG-E,2016-06-22,Night,staff.csv
290,2,Brenda,Wilson,Medical Records Officer,JG-B,2021-06-05,Night,staff.csv
291,2,Craig,Lee,Security Officer,JG-C,2011-02-02,Day,staff.csv
292,2,Louis,Leach,Security Officer,JG-G,2011-03-19,Rotating,staff.csv
293,2,Graham,Grant,Administrator,JG-B,2008-08-08,Rotating,staff.csv
294,2,Dawn,Chandler,Pharmacist,JG-E,2018-09-18,Day,staff.csv
295,2,Tina,Ross,Administrator,JG-C,2023-07-31,Night,staff.csv
296,2,Lawrence,Taylor,Medical Records Officer,JG-E,2023-12-13,Night,staff.csv
297,2,Abigail,Singh,Medical Records Officer,JG-A,2007-11-26,Night,staff.csv
298,2,Holly,Hughes,Cleaner,JG-C,2025-12-28,Rotating,staff.csv
299,2,Rebecca,Jones,Nutritionist,JG-B,2013-09-26,Rotating,staff.csv
300,2,Brenda,Richards,Medical Records Officer,JG-B,2016-10-27,Day,staff.csv
301,2,Kieran,Haynes,Medical Records Officer,JG-F,2023-05-31,Rotating,staff.csv
302,2,Joe,Moore,Radiographer,JG-B,2021-04-06,Day,staff.csv
303,2,Bruce,Ahmed,Radiographer,JG-F,2013-03-02,Rotating,staff.csv
304,2,Gareth,Morgan,ICT Officer,JG-A,2011-09-15,Night,staff.csv
305,2,Judith,Whitehead,Driver,JG-D,2019-08-30,Day,staff.csv
306,2,Olivia,Harrison,Pharmacist,JG-E,2022-12-03,Rotating,staff.csv
307,2,Shaun,Jordan,Cleaner,JG-B,2014-05-27,Rotating,staff.csv
308,2,Mitchell,Barnett,Pharmacist,JG-C,2015-03-15,Day,staff.csv
309,2,Karen,Young,Receptionist,JG-B,2020-11-16,Day,staff.csv
310,2,Daniel,Thomas,ICT Officer,JG-F,2022-08-24,Rotating,staff.csv
311,2,Dominic,Curtis,ICT Officer,JG-G,2008-08-29,Night,staff.csv
312,2,Beth,Martin,Pharmacist,JG-B,2024-02-24,Night,staff.csv
313,2,Chloe,Bradley,ICT Officer,JG-C,2017-10-19,Rotating,staff.csv
314,2,Diana,Brown,Security Officer,JG-F,2021-04-03,Rotating,staff.csv
315,2,Dorothy,Kirby,Radiographer,JG-B,2020-03-22,Night,staff.csv
316,2,Francis,Barrett,Cleaner,JG-B,2009-11-26,Night,staff.csv
317,2,Glenn,Murphy,Clinical Officer,JG-G,2018-07-06,Day,staff.csv
318,2,Barry,Carey,Radiographer,JG-D,2008-01-21,Night,staff.csv
319,2,Jeffrey,Coles,Nurse,JG-E,2025-02-10,Day,staff.csv
320,2,Derek,Collins,Cleaner,JG-F,2007-09-26,Night,staff.csv
321,2,Stacey,Hudson,Administrator,JG-B,2025-09-19,Night,staff.csv
322,2,Rita,Godfrey,Administrator,JG-F,2016-01-29,Rotating,staff.csv
323,2,Duncan,Farrell,Radiographer,JG-A,2010-05-24,Night,staff.csv
324,2,Brenda,Taylor,Radiographer,JG-B,2013-09-13,Rotating,staff.csv
325,2,Paula,Walker,Driver,JG-E,2008-12-14,Rotating,staff.csv
326,2,Bradley,Bishop,Nurse,JG-A,2012-08-29,Rotating,staff.csv
327,2,Douglas,Morgan,Laboratory Technologist,JG-D,2008-03-02,Rotating,staff.csv
328,2,Gregory,Akhtar,Medical Records Officer,JG-G,2013-04-28,Day,staff.csv
329,2,Gordon,Roberts,Receptionist,JG-D,2016-03-26,Rotating,staff.csv
330,2,Brian,Watkins,Nutritionist,JG-G,2019-06-10,Rotating,staff.csv
331,2,Mohammed,Newton,Radiographer,JG-G,2010-02-28,Day,staff.csv
332,2,Keith,Reed,Driver,JG-A,2026-04-25,Rotating,staff.csv
333,2,Molly,Thomas,Clinical Officer,JG-D,2009-12-23,Night,staff.csv
334,2,Emily,Hamilton,Nutritionist,JG-C,2014-08-12,Rotating,staff.csv
